ent,año,categoria,porcentaje,value,cve_ent,nom_ent
1,2016,pobreza,0.289464796001624,381380,01,Aguascalientes
1,2016,pobreza_m,0.267299160933109,352176,01,Aguascalientes
1,2016,pobreza_e,0.0221656350685181,29204,01,Aguascalientes
1,2016,vul_car,0.251012686569999,330718,01,Aguascalientes
1,2016,vul_ing,0.115373785136638,152009,01,Aguascalientes
1,2016,no_pobv,0.344148732291742,453428,01,Aguascalientes
1,2016,ic_rezedu,0.157625414125623,207677,01,Aguascalientes
1,2016,ic_asalud,0.121412334397189,159965,01,Aguascalientes
1,2016,ic_segsoc,0.373982474848862,492735,01,Aguascalientes
1,2016,ic_cv,0.0545549074597637,71878,01,Aguascalientes
1,2016,ic_sbv,0.0228289950551597,30078,01,Aguascalientes
1,2016,ic_ali_nc,0.178501519883725,235182,01,Aguascalientes
1,2016,carencias,0.540477482571619,712098,01,Aguascalientes
1,2016,carencias3,0.0844212867210357,111228,01,Aguascalientes
1,2016,plp_e,0.084531340723396,111373,01,Aguascalientes
1,2016,plp,0.404838581138258,533389,01,Aguascalientes
2,2016,pobreza,0.226048671441015,819473,02,Baja California
2,2016,pobreza_m,0.216438458945504,784634,02,Baja California
2,2016,pobreza_e,0.00961021249551063,34839,02,Baja California
2,2016,vul_car,0.335782573459292,1217281,02,Baja California
2,2016,vul_ing,0.0772764361528701,280143,02,Baja California
2,2016,no_pobv,0.360892318946845,1308309,02,Baja California
2,2016,ic_rezedu,0.14052525566823,509433,02,Baja California
2,2016,ic_asalud,0.172947964888064,626972,02,Baja California
2,2016,ic_segsoc,0.367126447435006,1330909,02,Baja California
2,2016,ic_cv,0.0776788960406666,281602,02,Baja California
2,2016,ic_sbv,0.0627779497220312,227583,02,Baja California
2,2016,ic_ali_nc,0.161490960789538,585438,02,Baja California
2,2016,carencias,0.561831244900147,2036754,02,Baja California
2,2016,carencias3,0.09545085162057,346029,02,Baja California
2,2016,plp_e,0.0476091565555173,172593,02,Baja California
2,2016,plp,0.303325107593891,1099616,02,Baja California
3,2016,pobreza,0.22880049849413,165234,03,Baja California Sur
3,2016,pobreza_m,0.213928756880256,154494,03,Baja California Sur
3,2016,pobreza_e,0.0148717416138748,10740,03,Baja California Sur
3,2016,vul_car,0.341089071208502,246326,03,Baja California Sur
3,2016,vul_ing,0.0728853809672172,52636,03,Baja California Sur
3,2016,no_pobv,0.357225049330148,257979,03,Baja California Sur
3,2016,ic_rezedu,0.143060892442967,103315,03,Baja California Sur
3,2016,ic_asalud,0.124573683663932,89964,03,Baja California Sur
3,2016,ic_segsoc,0.340074081766886,245593,03,Baja California Sur
3,2016,ic_cv,0.13122304150656,94766,03,Baja California Sur
3,2016,ic_sbv,0.128148994357323,92546,03,Baja California Sur
3,2016,ic_ali_nc,0.200530342368537,144818,03,Baja California Sur
3,2016,carencias,0.56988956970263,411560,03,Baja California Sur
3,2016,carencias3,0.126310104891474,91218,03,Baja California Sur
3,2016,plp_e,0.0529206909682555,38218,03,Baja California Sur
3,2016,plp,0.301685879461349,217870,03,Baja California Sur
4,2016,pobreza,0.456601916154812,391464,04,Campeche
4,2016,pobreza_m,0.3911216294081,335325,04,Campeche
4,2016,pobreza_e,0.0654802867467126,56139,04,Campeche
4,2016,vul_car,0.285664297328255,244912,04,Campeche
4,2016,vul_ing,0.0558971798885391,47923,04,Campeche
4,2016,no_pobv,0.201836606628395,173043,04,Campeche
4,2016,ic_rezedu,0.180362095873059,154632,04,Campeche
4,2016,ic_asalud,0.10746353263925,92133,04,Campeche
4,2016,ic_segsoc,0.582635634320949,499518,04,Campeche
4,2016,ic_cv,0.168839273008905,144753,04,Campeche
4,2016,ic_sbv,0.291937173263413,250290,04,Campeche
4,2016,ic_ali_nc,0.283235861534837,242830,04,Campeche
4,2016,carencias,0.742266213483067,636376,04,Campeche
4,2016,carencias3,0.248553086166314,213095,04,Campeche
4,2016,plp_e,0.144364792579857,123770,04,Campeche
4,2016,plp,0.51249909604335,439387,04,Campeche
5,2016,pobreza,0.270557127885079,799762,05,Coahuila
5,2016,pobreza_m,0.251305995773993,742856,05,Coahuila
5,2016,pobreza_e,0.0192511321110886,56906,05,Coahuila
5,2016,vul_car,0.205260722155953,606747,05,Coahuila
5,2016,vul_ing,0.160181963218991,473495,05,Coahuila
5,2016,no_pobv,0.364000186739968,1075978,05,Coahuila
5,2016,ic_rezedu,0.137490350076558,406419,05,Coahuila
5,2016,ic_asalud,0.128003147515784,378375,05,Coahuila
5,2016,ic_segsoc,0.274108232052833,810259,05,Coahuila
5,2016,ic_cv,0.0517225747653404,152891,05,Coahuila
5,2016,ic_sbv,0.0548406587049586,162108,05,Coahuila
5,2016,ic_ali_nc,0.166930312836817,493443,05,Coahuila
5,2016,carencias,0.475817850041029,1406509,05,Coahuila
5,2016,carencias3,0.0778939113972955,230253,05,Coahuila
5,2016,plp_e,0.0961193268429916,284127,05,Coahuila
5,2016,plp,0.43073909110407,1273257,05,Coahuila
6,2016,pobreza,0.325331972129651,227531,06,Colima
6,2016,pobreza_m,0.303812943159744,212481,06,Colima
6,2016,pobreza_e,0.0215190289699034,15050,06,Colima
6,2016,vul_car,0.301353625563185,210761,06,Colima
6,2016,vul_ing,0.0673452667430201,47100,06,Colima
6,2016,no_pobv,0.305969135564165,213989,06,Colima
6,2016,ic_rezedu,0.170056092458907,118934,06,Colima
6,2016,ic_asalud,0.118663503869851,82991,06,Colima
6,2016,ic_segsoc,0.448316439823234,313544,06,Colima
6,2016,ic_cv,0.113779184736217,79575,06,Colima
6,2016,ic_sbv,0.0861733447148259,60268,06,Colima
6,2016,ic_ali_nc,0.221801850493511,155124,06,Colima
6,2016,carencias,0.626685597692813,438292,06,Colima
6,2016,carencias3,0.135848700493723,95010,06,Colima
6,2016,plp_e,0.0624809653107535,43698,06,Colima
6,2016,plp,0.392677238872674,274631,06,Colima
7,2016,pobreza,0.779127645706472,4036725,07,Chiapas
7,2016,pobreza_m,0.48277416130952,2501293,07,Chiapas
7,2016,pobreza_e,0.296353484396991,1535432,07,Chiapas
7,2016,vul_car,0.117738704436891,610014,07,Chiapas
7,2016,vul_ing,0.0360889798522819,186980,07,Chiapas
7,2016,no_pobv,0.0670446700043215,347364,07,Chiapas
7,2016,ic_rezedu,0.30175640884348,1563425,07,Chiapas
7,2016,ic_asalud,0.150377247382449,779117,07,Chiapas
7,2016,ic_segsoc,0.819084928768722,4243747,07,Chiapas
7,2016,ic_cv,0.245232126179027,1270568,07,Chiapas
7,2016,ic_sbv,0.523012273688724,2709770,07,Chiapas
7,2016,ic_ali_nc,0.234979829506689,1217450,07,Chiapas
7,2016,carencias,0.896866350143371,4646739,07,Chiapas
7,2016,carencias3,0.434794038234861,2252704,07,Chiapas
7,2016,plp_e,0.495193572463518,2565639,07,Chiapas
7,2016,plp,0.815216625558753,4223705,07,Chiapas
8,2016,pobreza,0.307016416821296,1103977,08,Chihuahua
8,2016,pobreza_m,0.273938045911036,985033,08,Chihuahua
8,2016,pobreza_e,0.0330783709102558,118944,08,Chihuahua
8,2016,vul_car,0.246846341756434,887616,08,Chihuahua
8,2016,vul_ing,0.128127238708013,460723,08,Chihuahua
8,2016,no_pobv,0.318010002714258,1143508,08,Chihuahua
8,2016,ic_rezedu,0.17112461566528,615334,08,Chihuahua
8,2016,ic_asalud,0.122364164653221,440000,08,Chihuahua
8,2016,ic_segsoc,0.373981874530019,1344773,08,Chihuahua
8,2016,ic_cv,0.0712412509622275,256171,08,Chihuahua
8,2016,ic_sbv,0.0535290381286738,192481,08,Chihuahua
8,2016,ic_ali_nc,0.186504122559944,670636,08,Chihuahua
8,2016,carencias,0.553862758577732,1991593,08,Chihuahua
8,2016,carencias3,0.101351178478147,364441,08,Chihuahua
8,2016,plp_e,0.10014839435968,360116,08,Chihuahua
8,2016,plp,0.435143655529307,1564700,08,Chihuahua
9,2016,pobreza,0.265998545524437,2424660,09,Ciudad de México
9,2016,pobreza_m,0.248969399076038,2269434,09,Ciudad de México
9,2016,pobreza_e,0.0170291464483995,155226,09,Ciudad de México
9,2016,vul_car,0.276984783736992,2524803,09,Ciudad de México
9,2016,vul_ing,0.0740795187175691,675258,09,Ciudad de México
9,2016,no_pobv,0.382937152021003,3490592,09,Ciudad de México
9,2016,ic_rezedu,0.0890055009630499,811313,09,Ciudad de México
9,2016,ic_asalud,0.196345972979753,1789755,09,Ciudad de México
9,2016,ic_segsoc,0.435492231588755,3969648,09,Ciudad de México
9,2016,ic_cv,0.0590742193932344,538480,09,Ciudad de México
9,2016,ic_sbv,0.0209376244128973,190853,09,Ciudad de México
9,2016,ic_ali_nc,0.13723873223004,1250974,09,Ciudad de México
9,2016,carencias,0.542983329261431,4949463,09,Ciudad de México
9,2016,carencias3,0.0773904308058321,705438,09,Ciudad de México
9,2016,plp_e,0.0559031818216227,509575,09,Ciudad de México
