folioviv,foliohog,numren,trab,tipo_trab1,tipo_trab2,ocupa1,ocupa2
0100003801,1,01,1,1,0,1,0
0100003801,1,02,1,1,0,1,0
0100003802,1,01,1,1,0,1,0
0100003802,1,02,1,1,0,1,0
0100003803,1,01,1,1,0,1,0
0100003804,1,01,1,1,0,1,0
0100003804,1,02,1,1,0,1,0
0100003805,1,01,1,1,0,1,0
0100010401,1,01,1,3,0,1,0
0100010401,1,02,1,1,0,1,0
0100010401,1,03,1,1,0,1,0
0100010401,1,04,1,1,0,1,0
0100010406,1,01,1,1,0,1,0
0100010406,1,04,1,1,0,1,0
0100027701,1,01,1,2,0,1,0
0100027701,1,02,1,1,0,1,0
0100027701,1,03,1,1,0,1,0
0100027702,1,01,1,1,0,1,0
0100027702,1,02,1,3,0,1,0
0100027702,1,03,1,1,0,1,0
0100027706,1,01,1,3,0,1,0
0100027706,1,02,1,1,0,1,0
0100031901,1,01,1,1,0,1,0
0100031901,1,02,1,1,0,1,0
0100031901,1,05,1,1,0,1,0
0100031901,1,06,1,1,0,1,0
0100031901,1,07,1,1,0,1,0
0100031903,1,01,1,1,0,1,0
0100031903,1,03,1,1,0,1,0
0100031903,1,04,1,1,0,1,0
0100031904,1,01,1,1,0,1,0
0100031904,1,02,1,1,0,1,0
0100031905,1,01,1,1,0,1,0
0100031906,1,01,1,3,0,1,0
0100041501,1,02,1,1,0,1,0
0100041502,1,01,1,1,3,1,1
0100041505,1,01,1,3,3,1,1
0100041505,1,02,1,1,0,1,0
0100041505,1,03,1,1,0,1,0
0100041505,1,04,1,1,0,1,0
0100041506,1,04,1,1,0,1,0
0100062601,1,02,1,1,0,1,0
0100062601,1,03,1,1,0,1,0
0100062603,1,01,1,1,0,1,0
0100062603,1,02,1,3,3,1,1
0100062604,1,02,1,1,0,1,0
0100062604,1,03,1,3,0,1,0
0100062606,1,01,1,3,0,1,0
0100068002,1,03,1,1,1,1,1
0100068003,1,01,1,3,0,1,0
0100068003,2,01,1,3,0,1,0
0100068003,2,02,1,1,0,1,0
0100068003,2,03,1,1,0,1,0
0100068003,2,04,1,1,0,1,0
0100068003,2,05,1,1,0,1,0
0100068004,1,01,1,3,0,1,0
0100068004,1,02,1,1,0,1,0
0100068004,1,04,1,1,0,1,0
0100068004,1,05,1,1,0,1,0
0100068006,1,01,1,1,0,1,0
0100068006,1,02,1,1,0,1,0
0100074201,1,01,1,1,0,1,0
0100074201,1,02,1,1,0,1,0
0100074202,1,01,1,1,0,1,0
0100074202,1,02,1,1,0,1,0
0100074204,1,01,1,1,0,1,0
0100074204,1,02,1,1,0,1,0
0100074205,1,01,1,1,0,1,0
0100074206,1,02,1,1,0,1,0
0100074206,1,05,1,3,0,1,0
0100076301,1,02,1,1,0,1,0
0100076302,1,01,1,1,0,1,0
0100076302,1,02,1,1,0,1,0
0100076303,1,01,1,1,0,1,0
0100076303,1,02,1,1,1,1,1
0100076303,1,03,1,1,0,1,0
0100076303,1,04,1,1,0,1,0
0100076304,1,01,1,1,0,1,0
0100076304,1,02,1,3,0,1,0
0100076305,1,02,1,1,0,1,0
0100076306,1,01,1,3,0,1,0
